"Accessoire";"Alimentation";"Application";"Bluetooth";"Branchement";"Bus (FSB)";"Capacite";"Capacite du disque dur (Go)";"Chipset";"Compatibilite";"Connecteur";"Connectique";"Constructeur";"Couleur";"Débit d'air";"Dimensions";"Etat 2";"Facteur de forme";"Format";"Forme ergonomique";"Frequence memoire (MHz)";"Frequence Processeur";"Garantie constructeur";"Garantie Marchand";"Images par seconde";"Interface";"Largeur";"Longueur";"Marque";"Materiau";"Memoire cache de niveau 2";"Memoire (RAM)";"Modele";"Niveau sonore";"Nombre de ports";"Nombre de prises";"Norme";"Options";"Packaging";"Plateforme";"Processeur";"Puissance (W)";"RAM compatible";"Replicateur de port";"Resolution video (pixels)";"Sous-format";"Sous-type ";"Systeme d'exploitation";"Taille de l'ecran";"Technologie";"Titre 2";"Type";"Type 2";"Type d'adapteur";"Type de boitier";"Type de cable";"Type de capteur";"Type de clavier";"Type de connecteur";"Type de souris";"Type de systeme";"Vitesse d'ecriture CD";"Vitesse d'ecriture DVD";"Vitesse de rotation"
"";"";"";"";"";"";"";"";"";"";"Super Socket 7";"";"Hitachi";"";"";"";"";"";"";"";"";"";"";"";"";"Mini-PCI";"";"";"Apacer";"";"";"";"GeForce 6600";"";"";"";"SCSI";"";"";"";"Celeron D";"";"PC-4200";"";"";"";"Kit";"Windows Server 2003";"";"";"";"Grille";"";"";"";"XLR";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"IBM";"";"";"";"";"";"";"";"";"";"";"";"";"PC Card";"";"";"Apevia";"";"";"";"GeForce 6800";"";"";"";"Serie";"";"";"";"Celeron M";"";"PC-4300";"";"";"";"Lumineux";"Windows Server Data Center Edition 2003";"";"";"";"Guide de strategie";"";"";"";"YUV";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Intel";"";"";"";"";"";"";"";"";"";"";"";"";"PC-Card";"";"";"Apex Digital";"";"";"";"GeForce 7100";"";"";"";"USB";"";"";"";"Core 2 Duo";"";"PC-4400";"";"";"";"Mallette";"Windows Server Enterprise Edition 2003";"";"";"";"Housse";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Leadtek";"";"";"";"";"";"";"";"";"";"";"";"";"PCI";"";"";"Apple";"";"";"";"GeForce 7300";"";"";"";"USB 2.0";"";"";"";"Core 2 Extreme";"";"PC-66 SDRAM Memory";"";"";"";"Pompe";"Windows Server Web Edition 2003";"";"";"";"Interne";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MIPS";"";"";"";"";"";"";"";"";"";"";"";"";"PCI Express";"";"";"Arctic Cooling";"";"";"";"GeForce 7600";"";"";"";"eSATA";"";"";"";"Core 2 Quad";"";"PC-800";"";"";"";"Rheobus";"Windows Small Business server 2003";"";"";"";"Kit DVD";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MSI";"";"";"";"";"";"";"";"";"";"";"";"";"PCI-E";"";"";"Artec";"";"";"";"GeForce 7800";"";"";"";"";"";"";"";"Core Duo";"";"PC2-4200";"";"";"";"Sac a dos";"Windows Vista";"";"";"";"Lecteur";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Matrox";"";"";"";"";"";"";"";"";"";"";"";"";"PCI-X";"";"";"Asetek";"";"";"";"GeForce 7900";"";"";"";"";"";"";"";"Core Solo";"";"PC2-4300";"";"";"";"Sac femme";"Windows Vista Business";"";"";"";"Lecteur avec disque dur";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Mediamax";"";"";"";"";"";"";"";"";"";"";"";"";"PCMCIA";"";"";"Asrock";"";"";"";"GeForce 7950";"";"";"";"";"";"";"";"Duron";"";"PC2-5300";"";"";"";"Sacoche";"Windows Vista Enterprise";"";"";"";"Lecteur d'empreintes";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Motorola";"";"";"";"";"";"";"";"";"";"";"";"";"PS2";"";"";"Asus";"";"";"";"GeForce 8800";"";"";"";"";"";"";"";"Efficeon TM8600";"";"PC2-5400";"";"";"";"Sans fil, USB";"Windows Vista Home Basic";"";"";"";"Lecteur de carte memoire";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"National";"";"";"";"";"";"";"";"";"";"";"";"";"PS2 + USB";"";"";"Audio Technica";"";"";"";"GeForce FX 5200";"";"";"";"";"";"";"";"Efficeon TM8800";"";"PC2-6000";"";"";"";"Sans-fil";"Windows Vista Home Premium";"";"";"";"Lecteur externe";"";"";"";"";"";"";"";"";"";"";"";""
