"Accueil";"Allonge";"Authenticite";"Caracteristiques";"Categorie";"Convertible";"Couleur";"Diamètre";"Dimensions";"Emplacement dans la Maison";"Entretien";"Epoque";"Ergonomique";"Etat 2";"Fermeté";"Fete";"Fonction relax";"Forme";"Garantie constructeur";"Garantie Marchand";"Gonfleur intégré";"Grille de taille";"Hauteur";"Housse";"Impression";"Indépendance de couchage";"Largeur";"Lattes apparentes";"Longueur (cm)";"Marque";"Matiere";"Matière du tissu";"Nombre de chaises";"Nombre de pieces";"Nombre de places";"Nombre de portes";"Origine";"Parfum";"Periode";"Pliable";"Poids";"Profondeur";"Public";"Senteur";"Sommier cuvette";"Sommier déco";"Sous-type";"Soutien du dos";"Style";"Taille";"Temps de combustion";"Theme";"Type";"Type de latex";"Type de mousse";"Type de ressorts";"Unité des dimensions"
"";"";"";"Sur bronze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tousalon";"Cuir";"";"";"";"";"";"";"The vert";"";"";"";"";"";"";"";"";"Barrieres";"";"Moderne";"";"";"Science";"Bahut";"";"";"";""
"";"";"";"Sur panneau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vitra";"Cuir synthetique";"";"";"";"";"";"";"Vanille";"";"";"";"";"";"";"";"";"Basse, Petite";"";"Motifs geometriques";"";"";"Sport";"Baignoire";"";"";"";""
"";"";"";"Sur socle";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cuivre";"";"";"";"";"";"";"Verveine";"";"";"";"";"";"";"";"";"Baton, Chandelle";"";"Moyen-age";"";"";"Trompe l'oeil";"Balancelles";"";"";"";""
"";"";"";"Sur soie";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Céramique";"";"";"";"";"";"";"Ylang Ylang";"";"";"";"";"";"";"";"";"Bergere";"";"Napoleon III";"";"";"Voyage";"Banc";"";"";"";""
"";"";"";"Sur toile";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Email";"";"";"";"";"";"";"Ylang-ylang";"";"";"";"";"";"";"";"";"Bienvenue";"";"Napoleon, Empire";"";"";"";"Banquette";"";"";"";""
"";"";"";"Très gonflant";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Etain";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bloque-portes";"";"Oriental";"";"";"";"Banquette bz";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Faïence";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bonbonniere";"";"Oriental, Persan";"";"";"";"Banquette clic clac";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bougeoir";"";"Publicitaire";"";"";"";"Banquette lit";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fer forgé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bougeoir a suspension";"";"Regence";"";"";"";"Banquette, Banc";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fibres vegetales";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bougeoir pour chandelle";"";"Renaissance";"";"";"";"Bar";"";"";"";""
